incident_id,project_name,attack_surface,matched_solidity_file,matched_start_line_est,matched_end_line_est
ACF-086,HPAY,setToken(address _addr) public,data/contracts/defi_hack_ac/defi_hack_1.sol,1,5
ACF-087,Uerii,mint() public returns (bool),data/contracts/defi_hack_ac/Token.sol,493,496
ACF-088,Templedao,"migrateStake(address oldStaking, uint256 amount) external",data/contracts/defi_hack_ac/StaxLPStaking.sol,241,244
ACF-089,MevBot private tx,"pancakeCall(address varg0, uint256 varg1, uint256 varg2, bytes varg3) public Payable",data/contracts/defi_hack_ac/defi_hack_4.sol,1,12
ACF-090,ShadowFi,"burn(address account, uint256 _amount) public",data/contracts/defi_hack_ac/defi_hack_5.sol,1,5
ACF-091,Reaper Farm,"_withdraw(uint256 assets, uint256 shares, address receiver, address owner) internal returns (uint256)",data/contracts/defi_hack_ac/ReaperVaultV2.sol,323,369
ACF-092,SpaceGodzilla,swapAndLiquifyStepv1() public,data/contracts/defi_hack_ac/SpaceGodzilla.sol,1233,1237
ACF-093,GYMNetwork,"depositFromOtherContract( uint256 _depositAmount, uint8 _periodId, bool isUnlocked, address _from ) external",data/contracts/defi_hack_ac/GymSinglePool.sol,286,294
ACF-094,DAO Maker,emergencyExit(address varg0) public payable,data/contracts/defi_hack_ac/defi_hack_11.sol,1,56
ACF-095,CVE-2021-3006,breed() external,data/contracts/cve/Seal.sol,1,15
ACF-096,CVE-2021-34273,owned() public,data/contracts/cve/B2X.sol,35,37
ACF-097,CVE-2021-39167,_afterCall(bytes32 id) private,data/contracts/cve/CVE-2021-39167/governance/TimelockController.sol,313,316
ACF-098,CVE-2021-39168,_afterCall(bytes32 id) private,data/contracts/cve/CVE-2021-39167/governance/TimelockController.sol,313,316
ACF-099,IOracleFactory,createOracle(bytes calldata data_) external returns (OracleImpl oracle),data/contracts/ttweb/IOracleFactory.sol,8,8
ACF-100,BondFixedExpiryTeller,"redeem(ERC20BondToken token_, uint256 amount_) external override nonReentrant",data/contracts/defi_hack_iv/BondFixedExpiryTeller.sol,137,142
ACF-101,SwapMining,"swap(address account, address input, address output, uint256 amount) public onlyRouter returns (bool)",data/contracts/defi_hack_iv/SwapMining.sol,236,269
ACF-102,Bad_Guys_by_RPF,"WhiteListMint(bytes32[] calldata _merkleProof, uint256 chosenAmount) public",data/contracts/defi_hack_iv/Bad_Guys_by_RPF.sol,1190,1209
ACF-103,ANCHToken,"_transfer( address sender, address recipient, uint256 tAmount ) private",data/contracts/defi_hack_iv/ANCHToken.sol,764,789
ACF-104,Replica,"initialize( uint32 _remoteDomain, address _updater, bytes32 _committedRoot, uint256 _optimisticSeconds ) public initializer",data/contracts/defi_hack_iv/Replica.sol,103,117
ACF-105,Quixotic,"fillSellOrder( address payable seller, address contractAddress, uint256 tokenId, uint256 startTime, uint256 expiration, uint256 price, uint256 quantity, uint256 createdAtBlockNumber, address paymentERC20, bytes memory signature, address payable buyer ) external payable whenNotPaused nonReentrant",data/contracts/defi_hack_iv/Quixotic.sol,7,56
ACF-106,XCarnival,"pledgeAndBorrow(address _collection, uint256 _tokenId, uint256 _nftType, address xToken, uint256 borrowAmount) external nonReentrant",data/contracts/defi_hack_iv/XNFT.sol,108,111
ACF-107,Compound,sweepToken(EIP20NonStandardInterface token) external,data/contracts/defi_hack_iv/CErc20Delegate.sol,120,124
ACF-108,TreasureDAO,"buyItem( address _nftAddress, uint256 _tokenId, address _owner, uint256 _quantity ) external nonReentrant isListed(_nftAddress, _tokenId, _owner) validListing(_nftAddress, _tokenId, _owner)",data/contracts/defi_hack_iv/TreasureDAO.sol,1,41
ACF-109,QBridge,"deposit(uint8 destinationDomainID, bytes32 resourceID, bytes calldata data) external payable notPaused",data/contracts/defi_hack_iv/QBridge.sol,200,210
ACF-110,QBridgeHandler,"deposit(bytes32 resourceID, address depositer, bytes calldata data) external override onlyBridge",data/contracts/defi_hack_iv/QBridgeHandler.sol,122,137
ACF-111,tx1,onlyOwner(),data/contracts/txorigin/0x0edf34a446966eda43bc71ca4627ed5847914025_1.sol,158,161
ACF-112,tx2,onlyOwner(),data/contracts/txorigin/0x4c0f67a4b3ef0c4fc52aec217457c4da37353e85_1.sol,238,241
ACF-113,tx3,onlyOwner(),data/contracts/txorigin/0x8550Dc7eB3C5055170AFdD3cDB360eB12a25fE45_1.sol,26,29
ACF-114,tx4,OnlyOwner(),data/contracts/txorigin/0x30410fab6d367e11839c00ad93eb357e3066ada8_1.sol,533,536
ACF-115,tx5,onlyOwner(),data/contracts/txorigin/0x04037029b4f7fac106b7a3b88985d095e11fd091_1.sol,139,142
ACF-116,tx6,onlyOwner(),data/contracts/txorigin/0x82840058ab0b44d0a1d208b24fa60ce8b88c1e91_1.sol,27,30
ACF-117,tx7,onlyOwner(),data/contracts/txorigin/0xC4f7BF3Afba59211a95511291F766019172FF36e_1.sol,7,10
ACF-118,tx8,onlyOwner(),data/contracts/txorigin/0xc606721c67741D9C140Ed11b93Fc4ea857C8A69f_1.sol,127,130
